name,value,year,lastValue,rank,image,largeDate
ninja,0, 2014.04,0,206,ninja,
ninja,0, 2014.05,0,201,ninja,
ninja,0, 2014.06,0,197,ninja,
ninja,0, 2014.07,0,193,ninja,
ninja,0, 2014.08,0,184,ninja,
ninja,0, 2014.09,0,182,ninja,
ninja,0, 2014.10,0,177,ninja,
ninja,0, 2014.11,0,173,ninja,
ninja,0, 2015.00,0,169,ninja,
ninja,0, 2015.01,0,165,ninja,
ninja,0, 2015.02,0,165,ninja,
ninja,0, 2015.03,0,161,ninja,
ninja,0, 2015.04,0,159,ninja,
ninja,0, 2015.05,0,155,ninja,
ninja,0, 2015.06,0,153,ninja,
ninja,0, 2015.07,0,152,ninja,
ninja,0, 2015.08,0,149,ninja,
ninja,0, 2015.09,0,148,ninja,
ninja,0, 2015.10,0,146,ninja,
ninja,0, 2015.11,0,144,ninja,
ninja,0, 2016.00,0,143,ninja,
ninja,0, 2016.01,0,141,ninja,
ninja,0, 2016.02,0,140,ninja,
ninja,0, 2016.03,0,138,ninja,
ninja,0, 2016.04,0,137,ninja,
ninja,0, 2016.05,0,135,ninja,
ninja,0, 2016.06,0,134,ninja,
ninja,0, 2016.07,0,134,ninja,
ninja,0, 2016.08,0,133,ninja,
ninja,0, 2016.09,0,132,ninja,
ninja,0, 2016.10,0,132,ninja,
ninja,0, 2016.11,0,129,ninja,
ninja,0, 2017.00,0,128,ninja,
ninja,0, 2017.01,0,124,ninja,
ninja,0, 2017.02,0,121,ninja,
ninja,0, 2017.03,0,119,ninja,
ninja,0, 2017.04,0,116,ninja,
ninja,0, 2017.05,0,105,ninja,
ninja,0, 2017.06,0,102,ninja,
ninja,0, 2017.07,0,98,ninja,
ninja,0, 2017.08,0,98,ninja,
ninja,567015, 2017.09,0,94,ninja,
ninja,628909, 2017.10,567015,88,ninja,
ninja,731593, 2017.11,628909,69,ninja,
ninja,885468, 2018.00,731593,46,ninja,
ninja,1504325, 2018.01,885468,11,ninja,
ninja,2903620, 2018.02,1504325,2,ninja,
ninja,5107445, 2018.03,2903620,1,ninja,
ninja,6583548, 2018.04,5107445,1,ninja,
ninja,7920541, 2018.05,6583548,1,ninja,
ninja,9159137, 2018.06,7920541,1,ninja,
ninja,10411330, 2018.07,9159137,1,ninja,
ninja,11063036, 2018.08,10411330,1,ninja,
ninja,11567496, 2018.09,11063036,1,ninja,
ninja,12092026, 2018.10,11567496,1,ninja,
ninja,12435671, 2018.11,12092026,1,ninja,
ninja,12830300, 2019.00,12435671,1,ninja,
ninja,13293441, 2019.01,12830300,1,ninja,
ninja,13587884, 2019.02,13293441,1,ninja,
ninja,13871816, 2019.03,13587884,1,ninja,
ninja,14105101, 2019.04,13871816,1,ninja,
ninja,14380922, 2019.05,14105101,1,ninja,
ninja,14594813, 2019.06,14380922,1,ninja,
ninja,14716003, 2019.07,14594813,1,ninja,
ninja,14703884, 2019.08,14716003,1,ninja,
ninja,14691395, 2019.09,14703884,1,ninja,
ninja,14673241, 2019.10,14691395,1,ninja,
ninja,14655385, 2019.11,14673241,1,ninja,
ninja,14699558, 2020.00,14655385,1,ninja,
ninja,14689312, 2020.01,14699558,1,ninja,
ninja,14712332, 2020.02,14689312,1,ninja,
tfue,0, 2014.04,0,230,tfue,
tfue,0, 2014.05,0,225,tfue,
tfue,0, 2014.06,0,221,tfue,
tfue,0, 2014.07,0,217,tfue,
tfue,0, 2014.08,0,208,tfue,
tfue,0, 2014.09,0,206,tfue,
tfue,0, 2014.10,0,201,tfue,
tfue,0, 2014.11,0,197,tfue,
tfue,0, 2015.00,0,193,tfue,
tfue,0, 2015.01,0,189,tfue,
tfue,0, 2015.02,0,189,tfue,
tfue,0, 2015.03,0,185,tfue,
tfue,0, 2015.04,0,183,tfue,
tfue,0, 2015.05,0,179,tfue,
tfue,0, 2015.06,0,177,tfue,
tfue,0, 2015.07,0,176,tfue,
tfue,0, 2015.08,0,173,tfue,
tfue,0, 2015.09,0,172,tfue,
tfue,0, 2015.10,0,170,tfue,
tfue,0, 2015.11,0,168,tfue,
tfue,0, 2016.00,0,167,tfue,
tfue,0, 2016.01,0,165,tfue,
tfue,0, 2016.02,0,164,tfue,
tfue,0, 2016.03,0,162,tfue,
tfue,0, 2016.04,0,161,tfue,
tfue,0, 2016.05,0,159,tfue,
tfue,0, 2016.06,0,158,tfue,
tfue,0, 2016.07,0,158,tfue,
tfue,0, 2016.08,0,157,tfue,
tfue,0, 2016.09,0,156,tfue,
tfue,0, 2016.10,0,156,tfue,
tfue,0, 2016.11,0,153,tfue,
tfue,0, 2017.00,0,152,tfue,
tfue,0, 2017.01,0,148,tfue,
tfue,0, 2017.02,0,145,tfue,
tfue,0, 2017.03,0,143,tfue,
tfue,0, 2017.04,0,140,tfue,
tfue,0, 2017.05,0,129,tfue,
tfue,0, 2017.06,0,126,tfue,
tfue,0, 2017.07,0,122,tfue,
tfue,0, 2017.08,0,122,tfue,
tfue,0, 2017.09,0,119,tfue,
tfue,0, 2017.10,0,117,tfue,
tfue,0, 2017.11,0,115,tfue,
tfue,0, 2018.00,0,115,tfue,
tfue,0, 2018.01,0,110,tfue,
tfue,0, 2018.02,0,108,tfue,
tfue,0, 2018.03,0,107,tfue,
tfue,0, 2018.04,0,104,tfue,
tfue,0, 2018.05,0,102,tfue,
tfue,1178942, 2018.06,0,37,tfue,
tfue,2160634, 2018.07,1178942,14,tfue,
tfue,2363063, 2018.08,2160634,13,tfue,
tfue,2844046, 2018.09,2363063,6,tfue,
tfue,3390837, 2018.10,2844046,4,tfue,
tfue,3780569, 2018.11,3390837,4,tfue,
tfue,4193989, 2019.00,3780569,4,tfue,
tfue,4830955, 2019.01,4193989,4,tfue,
tfue,5140600, 2019.02,4830955,3,tfue,
tfue,5498887, 2019.03,5140600,3,tfue,
tfue,5878498, 2019.04,5498887,3,tfue,
tfue,6218247, 2019.05,5878498,3,tfue,
tfue,6485066, 2019.06,6218247,3,tfue,
tfue,6722609, 2019.07,6485066,3,tfue,
tfue,6966590, 2019.08,6722609,2,tfue,
tfue,7020974, 2019.09,6966590,2,tfue,
tfue,7206540, 2019.10,7020974,2,tfue,
tfue,7280351, 2019.11,7206540,2,tfue,
tfue,7386018, 2020.00,7280351,2,tfue,
tfue,7488708, 2020.01,7386018,2,tfue,
tfue,7738608, 2020.02,7488708,2,tfue,
shroud,0, 2014.04,0,166,shroud,
shroud,0, 2014.05,0,161,shroud,
shroud,0, 2014.06,0,157,shroud,
shroud,0, 2014.07,0,153,shroud,
shroud,0, 2014.08,0,144,shroud,
shroud,0, 2014.09,0,142,shroud,
shroud,0, 2014.10,0,137,shroud,
shroud,0, 2014.11,0,133,shroud,
shroud,0, 2015.00,0,129,shroud,
shroud,229528, 2015.01,0,84,shroud,
shroud,272531, 2015.02,229528,67,shroud,
shroud,294702, 2015.03,272531,70,shroud,
shroud,332660, 2015.04,294702,59,shroud,
shroud,374790, 2015.05,332660,48,shroud,
shroud,387830, 2015.06,374790,48,shroud,
shroud,396275, 2015.07,387830,49,shroud,
shroud,433369, 2015.08,396275,47,shroud,
shroud,445723, 2015.09,433369,49,shroud,
shroud,460382, 2015.10,445723,50,shroud,
shroud,477347, 2015.11,460382,51,shroud,
shroud,519759, 2016.00,477347,44,shroud,
shroud,575189, 2016.01,519759,39,shroud,
shroud,605547, 2016.02,575189,38,shroud,
shroud,630375, 2016.03,605547,38,shroud,
shroud,653381, 2016.04,630375,39,shroud,
shroud,665503, 2016.05,653381,38,shroud,
shroud,680767, 2016.06,665503,40,shroud,
shroud,691533, 2016.07,680767,39,shroud,
shroud,720546, 2016.08,691533,38,shroud,
shroud,733251, 2016.09,720546,38,shroud,
shroud,744704, 2016.10,733251,38,shroud,
shroud,796102, 2016.11,744704,32,shroud,
shroud,815374, 2017.00,796102,33,shroud,
shroud,834922, 2017.01,815374,33,shroud,
shroud,845011, 2017.02,834922,31,shroud,
shroud,879830, 2017.03,845011,29,shroud,
shroud,898266, 2017.04,879830,29,shroud,
shroud,923680, 2017.05,898266,30,shroud,
shroud,932494, 2017.06,923680,30,shroud,
shroud,1174522, 2017.07,932494,19,shroud,
shroud,1280847, 2017.08,1174522,14,shroud,
shroud,1427762, 2017.09,1280847,9,shroud,
shroud,1629799, 2017.10,1427762,8,shroud,
shroud,1826368, 2017.11,1629799,8,shroud,
shroud,2031867, 2018.00,1826368,7,shroud,
shroud,2323718, 2018.01,2031867,4,shroud,
shroud,2563983, 2018.02,2323718,4,shroud,
shroud,2916463, 2018.03,2563983,3,shroud,
shroud,3120143, 2018.04,2916463,2,shroud,
shroud,3370315, 2018.05,3120143,2,shroud,
shroud,3665992, 2018.06,3370315,2,shroud,
shroud,4018879, 2018.07,3665992,3,shroud,
shroud,4199978, 2018.08,4018879,3,shroud,
shroud,4449399, 2018.09,4199978,2,shroud,
shroud,4755744, 2018.10,4449399,2,shroud,
shroud,4910474, 2018.11,4755744,2,shroud,
shroud,5092532, 2019.00,4910474,2,shroud,
shroud,5290240, 2019.01,5092532,2,shroud,
shroud,5884255, 2019.02,5290240,2,shroud,
shroud,6100664, 2019.03,5884255,2,shroud,
shroud,6348986, 2019.04,6100664,2,shroud,
shroud,6461427, 2019.05,6348986,2,shroud,
shroud,6619862, 2019.06,6461427,2,shroud,
shroud,6782117, 2019.07,6619862,2,shroud,
shroud,6928394, 2019.08,6782117,3,shroud,
shroud,7015021, 2019.09,6928394,3,shroud,
shroud,7063940, 2019.10,7015021,3,shroud,
shroud,7053336, 2019.11,7063940,3,shroud,
shroud,7045033, 2020.00,7053336,3,shroud,
shroud,7035267, 2020.01,7045033,3,shroud,
shroud,7038296, 2020.02,7035267,3,shroud,
tsm_myth,0, 2014.04,0,216,tsm_myth,
tsm_myth,0, 2014.05,0,211,tsm_myth,
tsm_myth,0, 2014.06,0,207,tsm_myth,
tsm_myth,0, 2014.07,0,203,tsm_myth,
tsm_myth,0, 2014.08,0,194,tsm_myth,
tsm_myth,0, 2014.09,0,192,tsm_myth,
tsm_myth,0, 2014.10,0,187,tsm_myth,
tsm_myth,0, 2014.11,0,183,tsm_myth,
tsm_myth,0, 2015.00,0,179,tsm_myth,
tsm_myth,0, 2015.01,0,175,tsm_myth,
tsm_myth,0, 2015.02,0,175,tsm_myth,
tsm_myth,0, 2015.03,0,171,tsm_myth,
tsm_myth,0, 2015.04,0,169,tsm_myth,
tsm_myth,0, 2015.05,0,165,tsm_myth,
tsm_myth,0, 2015.06,0,163,tsm_myth,
tsm_myth,0, 2015.07,0,162,tsm_myth,
tsm_myth,0, 2015.08,0,159,tsm_myth,
tsm_myth,0, 2015.09,0,158,tsm_myth,
tsm_myth,0, 2015.10,0,156,tsm_myth,
tsm_myth,0, 2015.11,0,154,tsm_myth,
tsm_myth,0, 2016.00,0,153,tsm_myth,
tsm_myth,0, 2016.01,0,151,tsm_myth,
tsm_myth,0, 2016.02,0,150,tsm_myth,
tsm_myth,0, 2016.03,0,148,tsm_myth,
tsm_myth,0, 2016.04,0,147,tsm_myth,
tsm_myth,0, 2016.05,0,145,tsm_myth,
tsm_myth,0, 2016.06,0,144,tsm_myth,
tsm_myth,0, 2016.07,0,144,tsm_myth,
tsm_myth,0, 2016.08,0,143,tsm_myth,
tsm_myth,0, 2016.09,0,142,tsm_myth,
tsm_myth,0, 2016.10,0,142,tsm_myth,
tsm_myth,0, 2016.11,0,139,tsm_myth,
tsm_myth,0, 2017.00,0,138,tsm_myth,
tsm_myth,0, 2017.01,0,134,tsm_myth,
tsm_myth,0, 2017.02,0,131,tsm_myth,
tsm_myth,0, 2017.03,0,129,tsm_myth,
tsm_myth,0, 2017.04,0,126,tsm_myth,
tsm_myth,0, 2017.05,0,115,tsm_myth,
tsm_myth,0, 2017.06,0,112,tsm_myth,
tsm_myth,0, 2017.07,0,108,tsm_myth,
tsm_myth,0, 2017.08,0,108,tsm_myth,
tsm_myth,0, 2017.09,0,105,tsm_myth,
tsm_myth,0, 2017.10,0,103,tsm_myth,
tsm_myth,0, 2017.11,0,101,tsm_myth,
tsm_myth,0, 2018.00,0,101,tsm_myth,
tsm_myth,0, 2018.01,0,96,tsm_myth,
tsm_myth,898432, 2018.02,0,50,tsm_myth,
tsm_myth,1687241, 2018.03,898432,12,tsm_myth,
tsm_myth,2278279, 2018.04,1687241,7,tsm_myth,
tsm_myth,2801019, 2018.05,2278279,5,tsm_myth,
tsm_myth,3401920, 2018.06,2801019,3,tsm_myth,
tsm_myth,4073101, 2018.07,3401920,2,tsm_myth,
tsm_myth,4207928, 2018.08,4073101,2,tsm_myth,
tsm_myth,4347064, 2018.09,4207928,3,tsm_myth,
